r,sr,st
5.563127e+00,-6.089649e+08,-2.933607e+08
5.581162e+00,-6.079467e+08,-2.943789e+08
5.599198e+00,-6.069382e+08,-2.953874e+08
5.617235e+00,-6.059395e+08,-2.963861e+08
5.635271e+00,-6.049503e+08,-2.973753e+08
5.653306e+00,-6.039706e+08,-2.983549e+08
5.671343e+00,-6.030003e+08,-2.993253e+08
5.689379e+00,-6.020391e+08,-3.002865e+08
5.707415e+00,-6.010870e+08,-3.012386e+08
5.725451e+00,-6.001439e+08,-3.021817e+08
5.743487e+00,-5.992097e+08,-3.031159e+08
5.761523e+00,-5.982843e+08,-3.040413e+08
5.779559e+00,-5.973675e+08,-3.049581e+08
5.797596e+00,-5.964592e+08,-3.058664e+08
5.815631e+00,-5.955594e+08,-3.067662e+08
5.833667e+00,-5.946679e+08,-3.076577e+08
5.851704e+00,-5.937846e+08,-3.085410e+08
5.869740e+00,-5.929095e+08,-3.094161e+08
5.887775e+00,-5.920424e+08,-3.102832e+08
5.905812e+00,-5.911833e+08,-3.111423e+08
5.923848e+00,-5.903320e+08,-3.119937e+08
5.941884e+00,-5.894884e+08,-3.128372e+08
5.959920e+00,-5.886524e+08,-3.136732e+08
5.977956e+00,-5.878241e+08,-3.145016e+08
5.995992e+00,-5.870031e+08,-3.153225e+08
6.014028e+00,-5.861896e+08,-3.161360e+08
6.032064e+00,-5.853833e+08,-3.169423e+08
6.050100e+00,-5.845843e+08,-3.177414e+08
6.068136e+00,-5.837923e+08,-3.185333e+08
6.086172e+00,-5.830074e+08,-3.193182e+08
6.104208e+00,-5.822294e+08,-3.200962e+08
6.122245e+00,-5.814583e+08,-3.208673e+08
6.140280e+00,-5.806940e+08,-3.216316e+08
6.158317e+00,-5.799364e+08,-3.223892e+08
6.176353e+00,-5.791853e+08,-3.231402e+08
6.194389e+00,-5.784410e+08,-3.238847e+08
6.212425e+00,-5.777030e+08,-3.246226e+08
6.230461e+00,-5.769714e+08,-3.253542e+08
6.248497e+00,-5.762461e+08,-3.260794e+08
6.266533e+00,-5.755272e+08,-3.267984e+08
6.284569e+00,-5.748144e+08,-3.275112e+08
6.302606e+00,-5.741076e+08,-3.282179e+08
6.320641e+00,-5.734070e+08,-3.289186e+08
6.338677e+00,-5.727124e+08,-3.296132e+08
6.356714e+00,-5.720236e+08,-3.303020e+08
6.374749e+00,-5.713407e+08,-3.309849e+08
6.392786e+00,-5.706635e+08,-3.316621e+08
6.410822e+00,-5.699921e+08,-3.323336e+08
6.428858e+00,-5.693262e+08,-3.329994e+08
6.446894e+00,-5.686660e+08,-3.336596e+08
6.464930e+00,-5.680113e+08,-3.343143e+08
6.482966e+00,-5.673620e+08,-3.349636e+08
6.501002e+00,-5.667182e+08,-3.356074e+08
6.519038e+00,-5.660796e+08,-3.362460e+08
6.537074e+00,-5.654464e+08,-3.368792e+08
6.555110e+00,-5.648184e+08,-3.375072e+08
6.573146e+00,-5.641955e+08,-3.381301e+08
6.591182e+00,-5.635777e+08,-3.387478e+08
6.609219e+00,-5.629651e+08,-3.393606e+08
6.627254e+00,-5.623573e+08,-3.399683e+08
6.645290e+00,-5.617546e+08,-3.405710e+08
6.663327e+00,-5.611567e+08,-3.411689e+08
6.681363e+00,-5.605636e+08,-3.417620e+08
6.699399e+00,-5.599754e+08,-3.423502e+08
6.717435e+00,-5.593919e+08,-3.429338e+08
6.735471e+00,-5.588130e+08,-3.435126e+08
6.753507e+00,-5.582388e+08,-3.440868e+08
6.771543e+00,-5.576691e+08,-3.446565e+08
6.789579e+00,-5.571040e+08,-3.452216e+08
6.807615e+00,-5.565434e+08,-3.457822e+08
6.825651e+00,-5.559873e+08,-3.463384e+08
6.843688e+00,-5.554355e+08,-3.468901e+08
6.861723e+00,-5.548880e+08,-3.474376e+08
6.879759e+00,-5.543449e+08,-3.479807e+08
6.897796e+00,-5.538060e+08,-3.485196e+08
6.915832e+00,-5.532713e+08,-3.490543e+08
6.933867e+00,-5.527408e+08,-3.495848e+08
6.951904e+00,-5.522144e+08,-3.501112e+08
6.969940e+00,-5.516921e+08,-3.506335e+08
6.987976e+00,-5.511738e+08,-3.511518e+08
7.006012e+00,-5.506596e+08,-3.516660e+08
7.024048e+00,-5.501492e+08,-3.521764e+08
7.042084e+00,-5.496429e+08,-3.526828e+08
7.060120e+00,-5.491404e+08,-3.531852e+08
7.078156e+00,-5.486417e+08,-3.536840e+08
7.096192e+00,-5.481468e+08,-3.541788e+08
7.114228e+00,-5.476557e+08,-3.546700e+08
7.132265e+00,-5.471683e+08,-3.551574e+08
7.150301e+00,-5.466845e+08,-3.556411e+08
7.168337e+00,-5.462044e+08,-3.561212e+08
7.186373e+00,-5.457280e+08,-3.565976e+08
7.204409e+00,-5.452551e+08,-3.570705e+08
7.222445e+00,-5.447857e+08,-3.575399e+08
7.240481e+00,-5.443199e+08,-3.580057e+08
7.258517e+00,-5.438575e+08,-3.584681e+08
7.276553e+00,-5.433986e+08,-3.589270e+08
7.294590e+00,-5.429430e+08,-3.593826e+08
7.312625e+00,-5.424908e+08,-3.598348e+08
7.330661e+00,-5.420420e+08,-3.602836e+08
7.348698e+00,-5.415964e+08,-3.607292e+08
7.366733e+00,-5.411542e+08,-3.611714e+08
7.384769e+00,-5.407151e+08,-3.616105e+08
7.402806e+00,-5.402793e+08,-3.620463e+08
7.420841e+00,-5.398467e+08,-3.624790e+08
7.438878e+00,-5.394171e+08,-3.629085e+08
7.456914e+00,-5.389907e+08,-3.633349e+08
7.474950e+00,-5.385674e+08,-3.637582e+08
7.492986e+00,-5.381471e+08,-3.641785e+08
7.511022e+00,-5.377299e+08,-3.645957e+08
7.529058e+00,-5.373156e+08,-3.650100e+08
7.547094e+00,-5.369043e+08,-3.654213e+08
7.565130e+00,-5.364960e+08,-3.658296e+08
7.583167e+00,-5.360905e+08,-3.662351e+08
7.601202e+00,-5.356880e+08,-3.666376e+08
7.619238e+00,-5.352883e+08,-3.670373e+08
7.637275e+00,-5.348914e+08,-3.674342e+08
7.655311e+00,-5.344973e+08,-3.678283e+08
7.673347e+00,-5.341061e+08,-3.682196e+08
7.691383e+00,-5.337175e+08,-3.686081e+08
7.709419e+00,-5.333317e+08,-3.689939e+08
7.727455e+00,-5.329486e+08,-3.693770e+08
7.745491e+00,-5.325681e+08,-3.697575e+08
7.763527e+00,-5.321903e+08,-3.701353e+08
7.781563e+00,-5.318151e+08,-3.705105e+08
